Model:   Modelica.Electrical.Digital.Examples.Adder4
Time:    2.011 s
Success: false

--- Error ---
The equations of a system must involve the unknowns/observables. The following equations were found to have no unknowns/observables:
var"Adder1.Adder2.AND.x[1]" ~ var"Adder1.Adder2.AND.G1.x[1]"
var"Adder1.Adder2.AND.x[2]" ~ var"Adder1.Adder2.AND.G1.x[2]"
var"Adder1.Adder2.AND.y" ~ var"Adder1.Adder2.AND.G2.y"
var"Adder1.Adder2.AND.G1.y" ~ var"Adder1.Adder2.AND.G2.x"
var"Adder1.Adder2.XOR.x[1]" ~ var"Adder1.Adder2.XOR.G1.x[1]"
var"Adder1.Adder2.XOR.x[2]" ~ var"Adder1.Adder2.XOR.G1.x[2]"
var"Adder1.Adder2.XOR.G1.y" ~ var"Adder1.Adder2.XOR.G2.x"
var"Adder1.Adder2.XOR.G2.y" ~ var"Adder1.Adder2.XOR.y"
var"Adder1.Adder2.AND.y" ~ var"Adder1.Adder2.c"
var"Adder1.Adder2.XOR.y" ~ var"Adder1.Adder2.s"
var"Adder1.Adder2.b" ~ var"Adder1.Adder2.XOR.x[1]"
var"Adder1.Adder2.b" ~ var"Adder1.Adder2.AND.x[1]"
var"Adder1.Adder2.a" ~ var"Adder1.Adder2.AND.x[2]"
var"Adder1.Adder2.a" ~ var"Adder1.Adder2.XOR.x[2]"
var"Adder1.Adder1.AND.x[1]" ~ var"Adder1.Adder1.AND.G1.x[1]"
var"Adder1.Adder1.AND.x[2]" ~ var"Adder1.Adder1.AND.G1.x[2]"
var"Adder1.Adder1.AND.y" ~ var"Adder1.Adder1.AND.G2.y"
var"Adder1.Adder1.AND.G1.y" ~ var"Adder1.Adder1.AND.G2.x"
var"Adder1.Adder1.XOR.x[1]" ~ var"Adder1.Adder1.XOR.G1.x[1]"
var"Adder1.Adder1.XOR.x[2]" ~ var"Adder1.Adder1.XOR.G1.x[2]"
var"Adder1.Adder1.XOR.G1.y" ~ var"Adder1.Adder1.XOR.G2.x"
var"Adder1.Adder1.XOR.G2.y" ~ var"Adder1.Adder1.XOR.y"
var"Adder1.Adder1.AND.y" ~ var"Adder1.Adder1.c"
var"Adder1.Adder1.XOR.y" ~ var"Adder1.Adder1.s"
var"Adder1.Adder1.b" ~ var"Adder1.Adder1.XOR.x[1]"
var"Adder1.Adder1.b" ~ var"Adder1.Adder1.AND.x[1]"
var"Adder1.Adder1.a" ~ var"Adder1.Adder1.AND.x[2]"
var"Adder1.Adder1.a" ~ var"Adder1.Adder1.XOR.x[2]"
var"Adder1.c_out" ~ var"Adder1.OR.y"
var"Adder1.Adder2.c" ~ var"Adder1.OR.x[2]"
var"Adder1.Adder2.s" ~ var"Adder1.s"
var"Adder1.Adder1.a" ~ var"Adder1.a"
var"Adder1.b" ~ var"Adder1.Adder1.b"
var"Adder1.Adder1.s" ~ var"Adder1.Adder2.a"
var"Adder1.Adder1.c" ~ var"Adder1.OR.x[1]"
var"Adder1.c_in" ~ var"Adder1.Adder2.b"
var"Adder2.Adder2.AND.x[1]" ~ var"Adder2.Adder2.AND.G1.x[1]"
var"Adder2.Adder2.AND.x[2]" ~ var"Adder2.Adder2.AND.G1.x[2]"
var"Adder2.Adder2.AND.y" ~ var"Adder2.Adder2.AND.G2.y"
var"Adder2.Adder2.AND.G1.y" ~ var"Adder2.Adder2.AND.G2.x"
var"Adder2.Adder2.XOR.x[1]" ~ var"Adder2.Adder2.XOR.G1.x[1]"
var"Adder2.Adder2.XOR.x[2]" ~ var"Adder2.Adder2.XOR.G1.x[2]"
var"Adder2.Adder2.XOR.G1.y" ~ var"Adder2.Adder2.XOR.G2.x"
var"Adder2.Adder2.XOR.G2.y" ~ var"Adder2.Adder2.XOR.y"
var"Adder2.Adder2.AND.y" ~ var"Adder2.Adder2.c"
var"Adder2.Adder2.XOR.y" ~ var"Adder2.Adder2.s"
var"Adder2.Adder2.b" ~ var"Adder2.Adder2.XOR.x[1]"
var"Adder2.Adder2.b" ~ var"Adder2.Adder2.AND.x[1]"
var"Adder2.Adder2.a" ~ var"Adder2.Adder2.AND.x[2]"
var"Adder2.Adder2.a" ~ var"Adder2.Adder2.XOR.x[2]"
var"Adder2.Adder1.AND.x[1]" ~ var"Adder2.Adder1.AND.G1.x[1]"
var"Adder2.Adder1.AND.x[2]" ~ var"Adder2.Adder1.AND.G1.x[2]"
var"Adder2.Adder1.AND.y" ~ var"Adder2.Adder1.AND.G2.y"
var"Adder2.Adder1.AND.G1.y" ~ var"Adder2.Adder1.AND.G2.x"
var"Adder2.Adder1.XOR.x[1]" ~ var"Adder2.Adder1.XOR.G1.x[1]"
var"Adder2.Adder1.XOR.x[2]" ~ var"Adder2.Adder1.XOR.G1.x[2]"
var"Adder2.Adder1.XOR.G1.y" ~ var"Adder2.Adder1.XOR.G2.x"
var"Adder2.Adder1.XOR.G2.y" ~ var"Adder2.Adder1.XOR.y"
var"Adder2.Adder1.AND.y" ~ var"Adder2.Adder1.c"
